Date : 2022-03-11 16:02:21
Directory : /Users/davidbester/Coding/recipes-app
Total : 108 files,  88524 codes, 89 comments, 528 blanks, all 89141 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/davidbester/Coding/recipes-app/client/src/components/TabSection/TabSection.scss                 | SCSS               |         40 |          0 |          9 |         49 |
| /Users/davidbester/Coding/recipes-app/client/src/components/TabSection/TabSection.tsx                  | TypeScript React   |         28 |          0 |          6 |         34 |
| /Users/davidbester/Coding/recipes-app/client/src/components/index.ts                                   | TypeScript         |         16 |          0 |          1 |         17 |
| /Users/davidbester/Coding/recipes-app/client/src/features/authSlice/authSlice.ts                       | TypeScript         |        198 |          0 |         14 |        212 |
| /Users/davidbester/Coding/recipes-app/client/src/features/index.ts                                     | TypeScript         |         42 |          0 |          2 |         44 |
| /Users/davidbester/Coding/recipes-app/client/src/features/modalsSlice/modalsSlice.ts                   | TypeScript         |         34 |          0 |          8 |         42 |
| /Users/davidbester/Coding/recipes-app/client/src/features/profile/getProfileSlice.ts                   | TypeScript         |         61 |          0 |          7 |         68 |
| /Users/davidbester/Coding/recipes-app/client/src/features/recipes/getOneRecipeSlice.ts                 | TypeScript         |         61 |          0 |          7 |         68 |
| /Users/davidbester/Coding/recipes-app/client/src/features/recipes/getRecipesSlice.ts                   | TypeScript         |         60 |          0 |          7 |         67 |
| /Users/davidbester/Coding/recipes-app/client/src/features/recipes/getSavedRecipes.ts                   | TypeScript         |         64 |          0 |          7 |         71 |
| /Users/davidbester/Coding/recipes-app/client/src/features/recipes/getUploadedRecipes.ts                | TypeScript         |         64 |          0 |          7 |         71 |
| /Users/davidbester/Coding/recipes-app/client/src/features/snackbarSlice/snackbarSlice.ts               | TypeScript         |         34 |          0 |          6 |         40 |
| /Users/davidbester/Coding/recipes-app/client/src/hoc/ModalWrapper/ModalWrapper.scss                    | SCSS               |         23 |          0 |          3 |         26 |
| /Users/davidbester/Coding/recipes-app/client/src/hoc/ModalWrapper/ModalWrapper.tsx                     | TypeScript React   |         15 |          0 |          4 |         19 |
| /Users/davidbester/Coding/recipes-app/client/src/hoc/ScreenWrapper/ScreenWrapper.scss                  | SCSS               |         21 |          0 |          3 |         24 |
| /Users/davidbester/Coding/recipes-app/client/src/hoc/ScreenWrapper/ScreenWrapper.tsx                   | TypeScript React   |         21 |          0 |          6 |         27 |
| /Users/davidbester/Coding/recipes-app/client/src/hoc/WithSpinner/WithSpinner.tsx                       | TypeScript React   |         10 |          0 |          3 |         13 |
